pin,slack
dot_osd_integration_0/overlay/eng/fnt/col_6_1_.m14:A,
dot_osd_integration_0/overlay/eng/fnt/col_6_1_.m14:B,
dot_osd_integration_0/overlay/eng/fnt/col_6_1_.m14:C,
dot_osd_integration_0/overlay/eng/fnt/col_6_1_.m14:D,
dot_osd_integration_0/overlay/eng/fnt/col_6_1_.m14:Y,
DATA_I_ibuf[1]/U0/U_IOINFF:A,
DATA_I_ibuf[1]/U0/U_IOINFF:Y,
UART_interface_0/COREUART_C0_0/COREUART_C0_0/CUARTO01/un1_CUARTl0Il_1.CO1:A,6923
UART_interface_0/COREUART_C0_0/COREUART_C0_0/CUARTO01/un1_CUARTl0Il_1.CO1:B,4778
UART_interface_0/COREUART_C0_0/COREUART_C0_0/CUARTO01/un1_CUARTl0Il_1.CO1:C,6813
UART_interface_0/COREUART_C0_0/COREUART_C0_0/CUARTO01/un1_CUARTl0Il_1.CO1:Y,4778
dot_osd_integration_0/tracker/out_glbl_max_x[6]:ALn,
dot_osd_integration_0/tracker/out_glbl_max_x[6]:CLK,
dot_osd_integration_0/tracker/out_glbl_max_x[6]:D,8850
dot_osd_integration_0/tracker/out_glbl_max_x[6]:EN,6943
dot_osd_integration_0/tracker/out_glbl_max_x[6]:Q,
dot_osd_integration_0/tracker/glbl_max_x6_cry_13:A,6648
dot_osd_integration_0/tracker/glbl_max_x6_cry_13:B,6632
dot_osd_integration_0/tracker/glbl_max_x6_cry_13:FCI,6424
dot_osd_integration_0/tracker/glbl_max_x6_cry_13:FCO,6424
dot_osd_integration_0/overlay/y_cnt[5]:CLK,5929
dot_osd_integration_0/overlay/y_cnt[5]:D,4699
dot_osd_integration_0/overlay/y_cnt[5]:Q,5929
dot_osd_integration_0/overlay/byte_phase_0:A,7938
dot_osd_integration_0/overlay/byte_phase_0:B,6802
dot_osd_integration_0/overlay/byte_phase_0:C,
dot_osd_integration_0/overlay/byte_phase_0:Y,6802
line_write_read_0/LCD_FSM_0/s_state_ns_5_0_.m7_2_0:A,4683
line_write_read_0/LCD_FSM_0/s_state_ns_5_0_.m7_2_0:B,4735
line_write_read_0/LCD_FSM_0/s_state_ns_5_0_.m7_2_0:C,4540
